site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
49,2020,366,1,366,123,63,3,2019-11-04,2020-03-24,84,74,200,372,80,32,4,2019-12-04,2020-03-17,77,14,14,1,2019-12-12,2019-12-25,359
50,2020,366,1,366,128,63,3,2019-11-01,2020-03-18,78,70,266,511,93,53,3,2019-11-23,2020-03-12,72,13,13,1,2019-12-13,2019-12-25,359
50,2021,365,1,365,125,102,2,2020-11-27,2021-04-02,92,40,92,233,102,102,1,2020-12-22,2021-04-02,92,71,71,1,2021-01-19,2021-03-30,89
51,2020,366,1,366,89,26,4,2019-10-29,2020-03-15,75,8,264,364,33,19,2,2019-12-12,2020-02-10,41,13,13,1,2019-12-13,2019-12-25,359
51,2021,365,1,365,125,113,2,2020-12-08,2021-04-15,105,0,88,188,99,88,2,2020-12-28,2021-04-15,105,75,51,2,2021-01-23,2021-04-13,103
52,2020,366,1,366,72,25,4,2019-11-04,2020-03-08,68,10,232,356,14,14,1,2019-12-12,2019-12-25,359,0,0,0,NA,NA,0
52,2021,365,1,365,105,79,3,2020-12-08,2021-03-30,89,0,100,152,73,73,1,2021-01-17,2021-03-30,89,54,25,3,2021-01-23,2021-03-29,88
53,2020,366,1,366,145,126,2,2019-11-01,2020-03-26,86,405,197,473,142,126,2,2019-11-04,2020-03-26,86,22,22,1,2019-12-12,2020-01-02,2
53,2021,365,1,365,127,127,1,2020-11-27,2021-04-02,92,463,157,159,127,127,1,2020-11-27,2021-04-02,92,73,73,1,2021-01-18,2021-03-31,90
55,2020,366,1,366,144,126,2,2019-11-01,2020-03-27,87,52,68,537,134,97,3,2019-11-09,2020-03-27,87,24,13,2,2019-12-13,2020-03-12,72
55,2021,365,1,365,127,127,1,2020-11-27,2021-04-02,92,236,34,231,127,127,1,2020-11-27,2021-04-02,92,86,75,2,2020-12-28,2021-04-02,92
56,2020,366,1,366,53,18,4,2019-11-04,2020-03-08,68,14,186,282,10,10,1,2019-12-12,2019-12-21,355,0,0,0,NA,NA,0
56,2021,365,1,365,107,96,2,2020-12-08,2021-03-29,88,44,94,134,70,70,1,2021-01-19,2021-03-29,88,0,0,0,NA,NA,0
